Dia,Hora,PCB,TEUPCB
"29/12/2021","00-01","155,06","0,92"
"29/12/2021","01-02","135,00","0,92"
"29/12/2021","02-03","137,11","0,92"
"29/12/2021","03-04","133,30","0,92"
"29/12/2021","04-05","137,27","0,92"
"29/12/2021","05-06","165,59","0,92"
"29/12/2021","06-07","192,82","0,92"
"29/12/2021","07-08","244,08","0,92"
"29/12/2021","08-09","266,84","21,45"
"29/12/2021","09-10","269,53","21,45"
"29/12/2021","10-11","281,48","31,51"
"29/12/2021","11-12","281,41","31,51"
"29/12/2021","12-13","282,83","31,51"
"29/12/2021","13-14","283,02","31,51"
"29/12/2021","14-15","271,75","21,45"
"29/12/2021","15-16","266,62","21,45"
"29/12/2021","16-17","267,19","21,45"
"29/12/2021","17-18","273,99","21,45"
"29/12/2021","18-19","317,25","31,51"
"29/12/2021","19-20","328,87","31,51"
"29/12/2021","20-21","348,14","31,51"
"29/12/2021","21-22","332,46","31,51"
"29/12/2021","22-23","297,48","21,45"
"29/12/2021","23-24","276,85","21,45"
"30/12/2021","00-01","262,60","0,92"
"30/12/2021","01-02","248,56","0,92"
"30/12/2021","02-03","240,45","0,92"
"30/12/2021","03-04","237,34","0,92"
"30/12/2021","04-05","236,89","0,92"
"30/12/2021","05-06","236,34","0,92"
"30/12/2021","06-07","252,62","0,92"
"30/12/2021","07-08","256,07","0,92"
"30/12/2021","08-09","297,98","21,45"
"30/12/2021","09-10","294,38","21,45"
"30/12/2021","10-11","268,43","31,51"
"30/12/2021","11-12","255,14","31,51"
"30/12/2021","12-13","255,59","31,51"
"30/12/2021","13-14","261,73","31,51"
"30/12/2021","14-15","248,92","21,45"
"30/12/2021","15-16","243,93","21,45"
"30/12/2021","16-17","257,96","21,45"
"30/12/2021","17-18","302,28","21,45"
"30/12/2021","18-19","343,42","31,51"
"30/12/2021","19-20","343,15","31,51"
"30/12/2021","20-21","339,64","31,51"
"30/12/2021","21-22","330,23","31,51"
"30/12/2021","22-23","276,32","21,45"
"30/12/2021","23-24","260,69","21,45"
"31/12/2021","00-01","201,39","0,92"
"31/12/2021","01-02","180,20","0,92"
"31/12/2021","02-03","165,39","0,92"
"31/12/2021","03-04","164,15","0,92"
"31/12/2021","04-05","160,95","0,92"
"31/12/2021","05-06","162,33","0,92"
"31/12/2021","06-07","167,32","0,92"
"31/12/2021","07-08","174,32","0,92"
"31/12/2021","08-09","199,37","21,45"
"31/12/2021","09-10","201,48","21,45"
"31/12/2021","10-11","204,62","31,51"
"31/12/2021","11-12","178,85","31,51"
"31/12/2021","12-13","190,47","31,51"
"31/12/2021","13-14","191,31","31,51"
"31/12/2021","14-15","199,90","21,45"
"31/12/2021","15-16","198,38","21,45"
"31/12/2021","16-17","221,07","21,45"
"31/12/2021","17-18","256,58","21,45"
"31/12/2021","18-19","279,38","31,51"
"31/12/2021","19-20","270,54","31,51"
"31/12/2021","20-21","261,40","31,51"
"31/12/2021","21-22","252,43","31,51"
"31/12/2021","22-23","200,33","21,45"
"31/12/2021","23-24","188,09","21,45"
"01/01/2022","00-01","204,51","4,35"
"01/01/2022","01-02","171,35","4,35"
"01/01/2022","02-03","172,70","4,35"
"01/01/2022","03-04","156,07","4,35"
"01/01/2022","04-05","159,08","4,35"
"01/01/2022","05-06","157,28","4,35"
"01/01/2022","06-07","158,87","4,35"
"01/01/2022","07-08","157,58","4,35"
"01/01/2022","08-09","156,18","4,35"
"01/01/2022","09-10","118,96","4,35"
"01/01/2022","10-11","122,06","4,35"
"01/01/2022","11-12","127,97","4,35"
"01/01/2022","12-13","139,90","4,35"
"01/01/2022","13-14","141,95","4,35"
"01/01/2022","14-15","143,48","4,35"
"01/01/2022","15-16","147,69","4,35"
"01/01/2022","16-17","172,14","4,35"
"01/01/2022","17-18","212,24","4,35"
"01/01/2022","18-19","240,74","4,35"
"01/01/2022","19-20","244,33","4,35"
"01/01/2022","20-21","247,11","4,35"
"01/01/2022","21-22","248,38","4,35"
"01/01/2022","22-23","248,88","4,35"
"01/01/2022","23-24","229,10","4,35"
"02/01/2022","00-01","186,21","4,35"
"02/01/2022","01-02","168,59","4,35"
"02/01/2022","02-03","164,36","4,35"
"02/01/2022","03-04","168,80","4,35"
"02/01/2022","04-05","173,15","4,35"
"02/01/2022","05-06","167,53","4,35"
"02/01/2022","06-07","170,81","4,35"
"02/01/2022","07-08","183,78","4,35"
"02/01/2022","08-09","165,48","4,35"
"02/01/2022","09-10","160,64","4,35"
"02/01/2022","10-11","153,62","4,35"
"02/01/2022","11-12","141,37","4,35"
"02/01/2022","12-13","141,13","4,35"
"02/01/2022","13-14","147,85","4,35"
"02/01/2022","14-15","154,49","4,35"
"02/01/2022","15-16","148,14","4,35"
"02/01/2022","16-17","159,93","4,35"
"02/01/2022","17-18","210,37","4,35"
"02/01/2022","18-19","252,85","4,35"
"02/01/2022","19-20","255,34","4,35"
"02/01/2022","20-21","267,48","4,35"
"02/01/2022","21-22","268,11","4,35"
"02/01/2022","22-23","247,70","4,35"
"02/01/2022","23-24","232,27","4,35"
"03/01/2022","00-01","237,41","4,35"
"03/01/2022","01-02","215,14","4,35"
"03/01/2022","02-03","208,71","4,35"
"03/01/2022","03-04","203,75","4,35"
"03/01/2022","04-05","196,49","4,35"
"03/01/2022","05-06","200,68","4,35"
"03/01/2022","06-07","202,87","4,35"
"03/01/2022","07-08","206,64","4,35"
"03/01/2022","08-09","265,11","33,74"
"03/01/2022","09-10","257,98","33,74"
"03/01/2022","10-11","298,68","100,76"
"03/01/2022","11-12","288,37","100,76"
"03/01/2022","12-13","284,07","100,76"
"03/01/2022","13-14","276,19","100,76"
"03/01/2022","14-15","189,77","33,74"
"03/01/2022","15-16","173,26","33,74"
"03/01/2022","16-17","190,30","33,74"
"03/01/2022","17-18","217,17","33,74"
"03/01/2022","18-19","319,66","100,76"
"03/01/2022","19-20","326,48","100,76"
"03/01/2022","20-21","295,16","100,76"
"03/01/2022","21-22","281,10","100,76"
"03/01/2022","22-23","179,33","33,74"
"03/01/2022","23-24","164,71","33,74"
"04/01/2022","00-01","174,65","4,35"
"04/01/2022","01-02","163,91","4,35"
"04/01/2022","02-03","161,68","4,35"
"04/01/2022","03-04","153,58","4,35"
"04/01/2022","04-05","152,68","4,35"
"04/01/2022","05-06","163,79","4,35"
"04/01/2022","06-07","206,56","4,35"
"04/01/2022","07-08","207,43","4,35"
"04/01/2022","08-09","252,67","33,74"
"04/01/2022","09-10","265,20","33,74"
"04/01/2022","10-11","332,83","100,76"
"04/01/2022","11-12","323,75","100,76"
"04/01/2022","12-13","323,76","100,76"
"04/01/2022","13-14","320,06","100,76"
"04/01/2022","14-15","232,02","33,74"
"04/01/2022","15-16","225,99","33,74"
"04/01/2022","16-17","228,76","33,74"
"04/01/2022","17-18","238,30","33,74"
"04/01/2022","18-19","331,50","100,76"
"04/01/2022","19-20","324,57","100,76"
"04/01/2022","20-21","299,28","100,76"
"04/01/2022","21-22","291,42","100,76"
"04/01/2022","22-23","211,35","33,74"
"04/01/2022","23-24","174,07","33,74"
"05/01/2022","00-01","166,59","4,35"
"05/01/2022","01-02","149,69","4,35"
"05/01/2022","02-03","125,37","4,35"
"05/01/2022","03-04","114,73","4,35"
"05/01/2022","04-05","119,00","4,35"
"05/01/2022","05-06","138,39","4,35"
"05/01/2022","06-07","225,58","4,35"
"05/01/2022","07-08","262,78","4,35"
"05/01/2022","08-09","290,49","33,74"
"05/01/2022","09-10","292,89","33,74"
"05/01/2022","10-11","355,70","100,76"
"05/01/2022","11-12","348,34","100,76"
"05/01/2022","12-13","345,65","100,76"
"05/01/2022","13-14","342,63","100,76"
"05/01/2022","14-15","271,42","33,74"
"05/01/2022","15-16","277,27","33,74"
"05/01/2022","16-17","286,09","33,74"
"05/01/2022","17-18","291,59","33,74"
"05/01/2022","18-19","377,89","100,76"
"05/01/2022","19-20","408,58","100,76"
"05/01/2022","20-21","399,05","100,76"
"05/01/2022","21-22","372,09","100,76"
"05/01/2022","22-23","290,24","33,74"
"05/01/2022","23-24","283,57","33,74"
"06/01/2022","00-01","273,97","4,35"
"06/01/2022","01-02","274,38","4,35"
"06/01/2022","02-03","260,05","4,35"
"06/01/2022","03-04","247,79","4,35"
"06/01/2022","04-05","235,25","4,35"
"06/01/2022","05-06","265,43","4,35"
"06/01/2022","06-07","274,40","4,35"
"06/01/2022","07-08","285,48","4,35"
"06/01/2022","08-09","288,54","4,35"
"06/01/2022","09-10","282,62","4,35"
"06/01/2022","10-11","272,53","4,35"
"06/01/2022","11-12","262,94","4,35"
"06/01/2022","12-13","259,46","4,35"
"06/01/2022","13-14","259,12","4,35"
"06/01/2022","14-15","250,31","4,35"
"06/01/2022","15-16","245,51","4,35"
"06/01/2022","16-17","261,18","4,35"
"06/01/2022","17-18","284,00","4,35"
"06/01/2022","18-19","347,92","4,35"
"06/01/2022","19-20","352,09","4,35"
"06/01/2022","20-21","318,89","4,35"
"06/01/2022","21-22","292,36","4,35"
"06/01/2022","22-23","276,92","4,35"
"06/01/2022","23-24","272,25","4,35"
"07/01/2022","00-01","281,47","4,35"
